advies_id,adviescollege_id,aanwezig_in_officiele,best_jaccard,officiele_id
9373,15,True,0.9784,blg-430648
9379,15,False,0.0574,blg-430648
9399,15,False,0.056,blg-126013
9422,15,True,0.9485,blg-381718
9456,15,False,0.0534,blg-381718
9466,15,False,0.0452,blg-126013
9470,15,False,0.0042,blg-381718
9485,15,False,0.0604,blg-126013
9496,15,True,0.7964,blg-126013
9518,15,False,0.0527,blg-126013
9521,15,False,0.0575,blg-126013
9546,15,False,0.0097,kst-30800-B-17-b1
9552,15,True,0.6347,blg-36381
9553,15,True,0.9073,blg-127135
9569,15,True,0.826,blg-36380
9579,15,False,0.0059,nds-vws0401022-b1
9585,15,False,0.04,kst-31200-VII-9-b1
9588,15,False,0.0172,blg-25833
9622,15,False,0.0212,blg-127135
9639,15,False,0.0107,blg-21693
9642,15,False,0.0062,blg-21693
9643,15,False,0.0093,kst-28479-23-b1
9644,15,False,0.0069,blg-126013
9650,15,True,0.9679,blg-21693
9656,15,False,0.0141,blg-36665
9658,15,False,0.0166,nds-bzk0400458-b1
9662,15,False,0.0127,blg-21693
9663,15,False,0.0295,blg-127135
11091,21,False,0.0128,kst-29665-85-b2
11095,15,False,0.056,blg-126013
